Story ID,User Story,Assigned To,Status,Priority,Story Points,Sprint,Date Started,Date Completed,Comments
US-001,As a Parent I want to register and login securely with password hashing and CSRF protection so that my account is protected,Chichebendu Umeh,Completed,Critical,8,Sprint 1,2024-10-24,2024-10-31,Implemented Werkzeug scrypt hashing and CSRF tokens on all forms. Secure session management added. - Chichebendu
US-002,As an Admin I want Role-Based Access Control so that only authorized users can access specific system functions,Chichebendu Umeh,Completed,Critical,8,Sprint 2,2024-11-08,2024-11-14,RBAC complete with @admin_required and @tutor_required decorators. All routes protected. - Chichebendu. Security layer looks solid! - Sanchit
US-003,As an Admin I want to manage activities and users so that I can organize school programs and oversee system access,Chichebendu Umeh,Completed,High,5,Sprint 2,2024-11-15,2024-11-22,Activity CRUD and user management dashboard implemented. Admins can reset passwords and assign roles. - Chichebendu
US-004,As a Parent I want to add my children to my profile with age and grade information so that I can book activities for them,Mohd Sharjeel,Completed,High,5,Sprint 1,2024-11-01,2024-11-10,Child management module complete with age validation. Seamlessly integrated with booking system. - Sharjeel. Works perfectly with my booking logic! - Shiva
US-005,As a Tutor I want to mark attendance for my assigned activities so that I can track student participation,Mohd Sharjeel,Completed,Medium,5,Sprint 2,2024-12-01,2024-12-05,Attendance tracking system implemented. Tutors can only access their own activities with proper authorization. - Sharjeel
US-006,As a Parent I want to view my child's attendance history so that I can monitor their participation in school programs,Mohd Sharjeel,Completed,Medium,3,Sprint 3,2024-12-06,2024-12-12,Attendance history visible on parent dashboard with export to CSV feature. - Sharjeel. CSV export is super useful! - Sanchit
US-007,As a Parent I want to book activities with automatic conflict and capacity validation so that my child can participate,Shiva Kasula,Completed,Critical,13,Sprint 1,2024-11-01,2024-11-07,Core booking engine with conflict detection and real-time capacity checking implemented. Prevents double-bookings. - Shiva
US-008,As a User I want waitlist functionality when activities are full so that I can secure a spot if someone cancels,Shiva Kasula,Completed,High,8,Sprint 3,2024-11-21,2024-11-25,Waitlist FIFO queue complete. Auto-promotion on cancellation with email notification trigger. - Shiva. Email integration works great! - Sanchit
US-009,As a Parent I want to cancel bookings and see real-time capacity updates for flexible schedule management,Shiva Kasula,Completed,High,5,Sprint 2,2024-11-08,2024-11-15,Cancellation logic with auto capacity increment. Real-time capacity display (X/10 slots) on activity cards. - Shiva
US-010,As a User I want to receive automated email confirmations for bookings so that I have a record of registration,Sanchit Kaushal,Completed,High,5,Sprint 2,2024-11-15,2024-11-20,Flask-Mail configured with booking confirmation emails. Includes activity details and confirmation number. - Sanchit
US-011,As a User I want professional PDF invoices with QR codes so that I can keep records and submit for reimbursement,Sanchit Kaushal,Completed,High,8,Sprint 2,2024-11-21,2024-11-25,ReportLab PDF generator with school logo and QR codes containing booking IDs. Professional invoice layout. - Sanchit. QR code idea is brilliant! - Sharjeel
US-012,As a Parent I want automated waitlist promotion emails so that I'm notified when a spot becomes available,Sanchit Kaushal,Completed,Medium,5,Sprint 3,2024-12-10,2024-12-17,Waitlist email automation complete with 24-hour acceptance deadline. Integrated with Shiva's waitlist module. - Sanchit. Perfect integration! - Shiva
